trade_date,trade_code,exchange
2025.01.15,AO2501,SHF
2024.11.15,PB2411,SHF
2025.01.15,BU2501,SHF
2024.11.29,FU2412,SHF
2024.11.15,AG2411,SHF
2025.12.15,BU2512,SHF
2025.01.15,SN2501,SHF
2025.03.17,BU2503,SHF
2024.08.15,SS2408,SHF
2024.09.18,RB2409,SHF
2025.01.15,ZN2501,SHF
2024.08.15,NI2408,SHF
2024.11.15,RU2411,SHF
2024.10.15,AU2410,SHF
2025.01.15,WR2501,SHF
2024.09.18,BU2409,SHF
2024.12.16,ZN2412,SHF
2024.09.18,AL2409,SHF
2024.12.16,RB2412,SHF
2024.08.15,BU2408,SHF
2024.08.15,ZN2408,SHF
2024.08.15,AO2408,SHF
2024.10.31,FU2411,SHF
2025.01.15,CU2501,SHF
2025.01.15,AL2501,SHF
2024.11.15,AL2411,SHF
2024.08.15,BR2408,SHF
2024.08.15,SP2408,SHF
2024.08.15,AU2408,SHF
2024.12.16,SN2412,SHF
2025.01.31,FU2502,SHF
2025.02.17,NI2502,SHF
2025.02.17,PB2502,SHF
2025.02.17,WR2502,SHF
2025.02.17,SP2502,SHF
2025.02.17,ZN2502,SHF
2025.02.17,BU2502,SHF
2025.02.17,CU2502,SHF
2025.02.17,SN2502,SHF
2025.02.17,HC2502,SHF
2025.02.17,AL2502,SHF
2025.02.17,SS2502,SHF
2025.02.17,RB2502,SHF
2025.02.17,AG2502,SHF
2025.02.17,AO2502,SHF
2025.02.17,BR2502,SHF
2025.02.28,FU2503,SHF
2025.04.15,AU2504,SHF
2025.03.17,HC2503,SHF
2025.03.17,WR2503,SHF
2025.03.17,CU2503,SHF
2025.03.17,RU2503,SHF
2025.03.17,SP2503,SHF
2025.03.17,RB2503,SHF
2025.03.17,SS2503,SHF
2025.03.17,NI2503,SHF
2025.03.17,ZN2503,SHF
2025.03.17,BR2503,SHF
2025.03.17,AO2503,SHF
2025.03.17,AG2503,SHF
2026.03.16,BU2603,SHF
2025.03.17,AL2503,SHF
2025.03.17,SN2503,SHF
2025.03.17,PB2503,SHF
2025.03.31,FU2504,SHF
2025.04.15,CU2504,SHF
2025.04.15,RU2504,SHF
2025.04.15,AL2504,SHF
2025.04.15,NI2504,SHF
