TRADE_DT,B_ANAL_CURVENUMBER,B_ANAL_CURVETERM,B_ANAL_YIELD
2022.01.01,1071,3.9,3.4191
2022.01.01,1071,4,3.474
2022.01.01,1071,4.1,3.5212
2022.01.01,1071,4.200000000000001,3.5587
2022.01.01,1071,4.3,3.5883
2022.01.01,1071,4.400000000000002,3.6117
2022.01.01,1071,4.5,3.6305
2022.01.01,1071,4.6,3.6464
2022.01.01,1071,4.700000000000001,3.6613
2022.01.01,1071,4.8,3.6766
2022.01.01,1071,4.900000000000002,3.6943
2022.01.01,1071,5,3.7159
2022.01.01,1071,5.1,3.7409
2022.01.01,1071,5.200000000000001,3.7673
2022.01.01,1071,5.3,3.7944
2022.01.01,1071,5.400000000000002,3.8219
2022.01.01,1071,5.5,3.8493
2022.01.01,1071,5.6,3.875999999999999
2022.01.01,1071,5.700000000000001,3.9017
2022.01.01,1071,5.8,3.9257
2022.01.01,1071,5.900000000000002,3.9477
2022.01.01,1071,6,3.9671
2022.01.01,1071,6.1,3.983
2022.01.01,1071,6.200000000000001,3.9952
2022.01.01,1071,6.3,4.004100000000001
2022.01.01,1071,6.400000000000002,4.010500000000001
2022.01.01,1071,6.5,4.015
2022.01.01,1071,6.6,4.018
2022.01.01,1071,6.700000000000001,4.020400000000001
2022.01.01,1071,6.8,4.022499999999999
2022.01.01,1071,6.900000000000002,4.0252
2022.01.01,1071,7,4.028900000000001
2022.01.01,1071,7.1,4.034200000000002
2022.01.01,1071,7.200000000000001,4.041200000000001
2022.01.01,1071,7.3,4.049600000000001
2022.01.01,1071,7.400000000000002,4.0591
2022.01.01,1071,7.5,4.0694
2022.01.01,1071,7.6,4.0801
2022.01.01,1071,7.700000000000001,4.091000000000001
2022.01.01,1071,7.8,4.1019
2022.01.01,1071,7.900000000000002,4.112300000000001
2022.01.01,1071,8,4.122099999999999
2022.01.01,1071,8.099999999999999,4.1315
2022.01.01,1071,8.199999999999999,4.140900000000001
2022.01.01,1071,8.3,4.1505
2022.01.01,1071,8.4,4.160099999999999
2022.01.01,1071,8.5,4.1697
2022.01.01,1071,8.599999999999999,4.179300000000002
2022.01.01,1071,8.699999999999999,4.189
2022.01.01,1071,8.8,4.1987
2022.01.01,1071,8.9,4.208300000000002
2022.01.01,1071,9,4.217900000000001
2022.01.01,1071,9.099999999999999,4.2287
2022.01.01,1071,9.199999999999999,4.241700000000001
2022.01.01,1071,9.3,4.256600000000001
2022.01.01,1071,9.4,4.272800000000001
2022.01.01,1071,9.5,4.2901
2022.01.01,1071,9.599999999999999,4.3081
2022.01.01,1071,9.699999999999999,4.3263
2022.01.01,1071,9.8,4.344400000000001
2022.01.01,1071,9.9,4.361900000000001
2022.01.01,1071,10,4.378600000000002
2022.01.01,1072,0,1.8041
2022.01.01,1072,0.02,1.8022
2022.01.01,1072,0.04,1.8648
2022.01.01,1072,0.08,1.9781
2022.01.01,1072,0.1,1.9705
2022.01.01,1072,0.17,1.9046
2022.01.01,1072,0.2,1.907
2022.01.01,1072,0.25,1.914
2022.01.01,1072,0.3,1.9267
2022.01.01,1072,0.4,1.9806
2022.01.01,1072,0.5,2.0407
2022.01.01,1072,0.6,2.0927
2022.01.01,1072,0.7,2.146
2022.01.01,1072,0.75,2.1725
2022.01.01,1072,0.8,2.1972
2022.01.01,1072,0.9,2.2401
2022.01.01,1072,1,2.2816
2022.01.01,1072,1.1,2.3243
2022.01.01,1072,1.2,2.3651
2022.01.01,1072,1.3,2.4045
2022.01.01,1072,1.4,2.4428
2022.01.01,1072,1.5,2.4803
2022.01.01,1072,1.6,2.5172
2022.01.01,1072,1.7,2.5539
2022.01.01,1072,1.8,2.5907
2022.01.01,1072,1.9,2.6279
2022.01.01,1072,2,2.6659
2022.01.01,1072,2.1,2.7022
2022.01.01,1072,2.2,2.7345
2022.01.01,1072,2.3,2.7637
2022.01.01,1072,2.4,2.7903
2022.01.01,1072,2.5,2.815199999999999
2022.01.01,1072,2.6,2.8388
2022.01.01,1072,2.7,2.862
2022.01.01,1072,2.8,2.8855
2022.01.01,1072,2.9,2.9098
2022.01.01,1072,3,2.9358
2022.01.01,1072,3.1,2.9672
2022.01.01,1072,3.2,3.0064
2022.01.01,1072,3.3,3.0521
2022.01.01,1072,3.4,3.1029
2022.01.01,1072,3.5,3.1574
2022.01.01,1072,3.6,3.2142
2022.01.01,1072,3.7,3.2719
2022.01.01,1072,3.8,3.3291
2022.01.01,1072,3.9,3.3845
2022.01.01,1072,4,3.4367
2022.01.01,1072,4.1,3.4816
2022.01.01,1072,4.200000000000001,3.5173
2022.01.01,1072,4.3,3.5454
2022.01.01,1072,4.400000000000002,3.5676
2022.01.01,1072,4.5,3.5854
2022.01.01,1072,4.6,3.6005
2022.01.01,1072,4.700000000000001,3.6144
2022.01.01,1072,4.8,3.629
2022.01.01,1072,4.900000000000002,3.6457
2022.01.01,1072,5,3.6662
2022.01.01,1072,5.1,3.6897
2022.01.01,1072,5.200000000000001,3.7139
2022.01.01,1072,5.3,3.7387
2022.01.01,1072,5.400000000000002,3.7636
2022.01.01,1072,5.5,3.7884
2022.01.01,1072,5.6,3.8127
2022.01.01,1072,5.700000000000001,3.8361
2022.01.01,1072,5.8,3.8585
2022.01.01,1072,5.900000000000002,3.8793
2022.01.01,1072,6,3.8984
2022.01.01,1072,6.1,3.9144
2022.01.01,1072,6.200000000000001,3.9265
2022.01.01,1072,6.3,3.9354
2022.01.01,1072,6.400000000000002,3.9417
2022.01.01,1072,6.5,3.9461
2022.01.01,1072,6.6,3.9492
2022.01.01,1072,6.700000000000001,3.9516
2022.01.01,1072,6.8,3.9539
2022.01.01,1072,6.900000000000002,3.9567
2022.01.01,1072,7,3.9608
2022.01.01,1072,7.1,3.9664
2022.01.01,1072,7.200000000000001,3.9733
2022.01.01,1072,7.3,3.9812
2022.01.01,1072,7.400000000000002,3.99
2022.01.01,1072,7.5,3.9993
2022.01.01,1072,7.6,4.0091
2022.01.01,1072,7.700000000000001,4.019000000000001
2022.01.01,1072,7.8,4.028900000000001
2022.01.01,1072,7.900000000000002,4.038400000000001
2022.01.01,1072,8,4.0474
2022.01.01,1072,8.099999999999999,4.0561
2022.01.01,1072,8.199999999999999,4.064700000000001
2022.01.01,1072,8.3,4.073300000000001
2022.01.01,1072,8.4,4.082
2022.01.01,1072,8.5,4.090600000000002
2022.01.01,1072,8.599999999999999,4.099200000000001
2022.01.01,1072,8.699999999999999,4.107800000000001
2022.01.01,1072,8.8,4.1164
2022.01.01,1072,8.9,4.125099999999999
2022.01.01,1072,9,4.133700000000001
2022.01.01,1072,9.099999999999999,4.1433
2022.01.01,1072,9.199999999999999,4.154499999999999
2022.01.01,1072,9.3,4.167200000000001
2022.01.01,1072,9.4,4.180900000000001
2022.01.01,1072,9.5,4.195400000000001
2022.01.01,1072,9.599999999999999,4.2104
2022.01.01,1072,9.699999999999999,4.2256
2022.01.01,1072,9.8,4.240800000000001
2022.01.01,1072,9.9,4.2555
2022.01.01,1072,10,4.2695
2022.01.01,1081,0,1.7341
2022.01.01,1081,0.02,1.7322
2022.01.01,1081,0.04,1.7948
2022.01.01,1081,0.08,1.9081
2022.01.01,1081,0.1,1.9005
2022.01.01,1081,0.17,1.8346
2022.01.01,1081,0.2,1.8341
2022.01.01,1081,0.25,1.834
2022.01.01,1081,0.3,1.8431
2022.01.01,1081,0.4,1.8979
2022.01.01,1081,0.5,1.9607
2022.01.01,1081,0.6,2.0127
2022.01.01,1081,0.7,2.066
2022.01.01,1081,0.75,2.0925
2022.01.01,1081,0.8,2.1172
2022.01.01,1081,0.9,2.1601
2022.01.01,1081,1,2.2016
2022.01.01,1081,1.1,2.243
2022.01.01,1081,1.2,2.2804
2022.01.01,1081,1.3,2.3144
2022.01.01,1081,1.4,2.3459
2022.01.01,1081,1.5,2.3755
2022.01.01,1081,1.6,2.4039
2022.01.01,1081,1.7,2.4318
2022.01.01,1081,1.8,2.46
2022.01.01,1081,1.9,2.4891
2022.01.01,1081,2,2.5199
2022.01.01,1081,2.1,2.5505
2022.01.01,1081,2.2,2.579
2022.01.01,1081,2.3,2.6058
2022.01.01,1081,2.4,2.6312
2022.01.01,1081,2.5,2.6556
2022.01.01,1081,2.6,2.6794
2022.01.01,1081,2.7,2.7029
2022.01.01,1081,2.8,2.7266
2022.01.01,1081,2.9,2.7507
2022.01.01,1081,3,2.7757
2022.01.01,1081,3.1,2.8016
2022.01.01,1081,3.2,2.828
2022.01.01,1081,3.3,2.8549
2022.01.01,1081,3.4,2.882
2022.01.01,1081,3.5,2.9095
2022.01.01,1081,3.6,2.9371
2022.01.01,1081,3.7,2.9647
2022.01.01,1081,3.8,2.9923
2022.01.01,1081,3.9,3.0198
2022.01.01,1081,4,3.0471
2022.01.01,1081,4.1,3.072
2022.01.01,1081,4.200000000000001,3.0931
2022.01.01,1081,4.3,3.1109
2022.01.01,1081,4.400000000000002,3.1261
2022.01.01,1081,4.5,3.1396
2022.01.01,1081,4.6,3.1519
2022.01.01,1081,4.700000000000001,3.1637
2022.01.01,1081,4.8,3.1757
2022.01.01,1081,4.900000000000002,3.1887
2022.01.01,1081,5,3.2033
2022.01.01,1081,5.1,3.2204
2022.01.01,1081,5.200000000000001,3.24
2022.01.01,1081,5.3,3.2616
2022.01.01,1081,5.400000000000002,3.2846
2022.01.01,1081,5.5,3.3085
2022.01.01,1081,5.6,3.332599999999999
2022.01.01,1081,5.700000000000001,3.3565
2022.01.01,1081,5.8,3.3795
2022.01.01,1081,5.900000000000002,3.4011
2022.01.01,1081,6,3.4207
2022.01.01,1081,6.1,3.4369
2022.01.01,1081,6.200000000000001,3.4492
2022.01.01,1081,6.3,3.4582
2022.01.01,1081,6.400000000000002,3.4645
2022.01.01,1081,6.5,3.4689
2022.01.01,1081,6.6,3.472
2022.01.01,1081,6.700000000000001,3.4745
2022.01.01,1081,6.8,3.477
2022.01.01,1081,6.900000000000002,3.4802
2022.01.01,1081,7,3.4847
2022.01.01,1081,7.1,3.4909
2022.01.01,1081,7.200000000000001,3.4984
2022.01.01,1081,7.3,3.5071
2022.01.01,1081,7.400000000000002,3.516599999999999
2022.01.01,1081,7.5,3.5267
2022.01.01,1081,7.6,3.5373
2022.01.01,1081,7.700000000000001,3.5479
2022.01.01,1081,7.8,3.5586
2022.01.01,1081,7.900000000000002,3.5689
2022.01.01,1081,8,3.5786
2022.01.01,1081,8.099999999999999,3.588
2022.01.01,1081,8.199999999999999,3.5975
2022.01.01,1081,8.3,3.6071
2022.01.01,1081,8.4,3.6166
2022.01.01,1081,8.5,3.6263
2022.01.01,1081,8.599999999999999,3.6359
2022.01.01,1081,8.699999999999999,3.6455
2022.01.01,1081,8.8,3.6552
2022.01.01,1081,8.9,3.6648
2022.01.01,1081,9,3.6744
2022.01.01,1081,9.099999999999999,3.6851
2022.01.01,1081,9.199999999999999,3.698
2022.01.01,1081,9.3,3.7127
2022.01.01,1081,9.4,3.7287
2022.01.01,1081,9.5,3.7457
2022.01.01,1081,9.599999999999999,3.7633
2022.01.01,1081,9.699999999999999,3.7812
2022.01.01,1081,9.8,3.799
2022.01.01,1081,9.9,3.816199999999999
2022.01.01,1081,10,3.832599999999999
2022.01.01,1081,10.099999999999999,3.8478
2022.01.01,1081,10.199999999999999,3.8617
2022.01.01,1081,10.3,3.8748
2022.01.01,1081,10.4,3.887
2022.01.01,1081,10.5,3.8987
2022.01.01,1081,10.599999999999999,3.9101
2022.01.01,1081,10.699999999999999,3.9213
2022.01.01,1081,10.8,3.932599999999999
2022.01.01,1081,10.9,3.9442
